date,Россия,Великобритания,США,Германия,Индия,Южная Корея,Бразилия
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
2020-01-20,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2020-01-21,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2020-01-22,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2020-01-23,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2020-01-24,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0
2020-01-25,0.0,0.0,0.8571428571428571,0.0,0.0,0.2857142857142857,0.0
2020-01-26,0.0,0.0,1.0,0.14285714285714285,0.0,0.2857142857142857,0.0
2020-01-27,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.42857142857142855,0.0
2020-01-28,0.0,0.0,1.0,0.14285714285714285,0.0,0.42857142857142855,0.0
2020-01-29,0.0,0.0,1.0,0.14285714285714285,0.0,0.42857142857142855,0.0
2020-01-30,0.0,0.0,1.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0
2020-01-31,0.0,0.0,1.0,0.14285714285714285,0.14285714285714285,1.2857142857142858,0.0
2020-02-01,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.4285714285714286,0.0
2020-02-02,0.2857142857142857,0.14285714285714285,0.2857142857142857,1.2857142857142858,0.2857142857142857,1.7142857142857142,0.0
2020-02-03,0.2857142857142857,0.14285714285714285,0.42857142857142855,1.2857142857142858,0.42857142857142855,1.5714285714285714,0.0
2020-02-04,0.2857142857142857,0.2857142857142857,0.7142857142857143,1.2857142857142858,0.42857142857142855,1.7142857142857142,0.0
2020-02-05,0.2857142857142857,2.857142857142857,1.2857142857142858,1.2857142857142858,0.42857142857142855,2.4285714285714284,0.0
2020-02-06,0.2857142857142857,2.857142857142857,1.5714285714285714,1.2857142857142858,0.2857142857142857,2.4285714285714284,0.0
2020-02-07,0.2857142857142857,3.0,1.5714285714285714,1.2857142857142858,0.2857142857142857,1.8571428571428572,0.0
2020-02-08,0.0,2.857142857142857,1.5714285714285714,1.2857142857142858,0.2857142857142857,1.7142857142857142,0.0
2020-02-09,0.0,2.857142857142857,1.5714285714285714,1.2857142857142858,0.14285714285714285,1.7142857142857142,0.0
2020-02-10,0.0,3.2857142857142856,1.4285714285714286,1.2857142857142858,0.0,1.8571428571428572,0.0
